LOG [2023-05-04 11:10:29] avg rtt: 147.25 ms, hi: 166.00 ms, lo: 127.00, avg var: 7.10 ms. 1000 samples, 10 ms interval. (MIXED) 
LOG [2023-05-04 11:10:53] avg rtt: 154.18 ms, hi: 184.00 ms, lo: 122.00, avg var: 10.18 ms. 1000 samples, 10 ms interval. (MIXED) PEP
LOG [2023-05-04 11:11:29] avg rtt: 163.62 ms, hi: 241.00 ms, lo: 143.00, avg var: 9.44 ms. 1000 samples, 10 ms interval. (MIXED) 
LOG [2023-05-04 11:11:47] avg rtt: 153.47 ms, hi: 182.00 ms, lo: 127.00, avg var: 9.91 ms. 1000 samples, 10 ms interval. (MIXED) PEP
LOG [2023-05-04 11:14:24] avg rtt: 150.07 ms, hi: 170.00 ms, lo: 134.00, avg var: 7.43 ms. 1000 samples, 10 ms interval.  
LOG [2023-05-04 11:14:39] avg rtt: 157.97 ms, hi: 196.00 ms, lo: 124.00, avg var: 16.69 ms. 1000 samples, 10 ms interval.  
LOG [2023-05-04 11:14:55] avg rtt: 152.32 ms, hi: 174.00 ms, lo: 126.00, avg var: 9.74 ms. 1000 samples, 10 ms interval.  
LOG [2023-05-05 14:34:24] avg rtt: 166.47 ms, hi: 260.00 ms, lo: 145.00, avg var: 11.48 ms. 2000 samples, 10 ms interval.  
LOG [2023-05-05 14:35:13] avg rtt: 131.00 ms, hi: 131.00 ms, lo: 131.00, avg var: 0.00 ms. 10000 samples, 1 ms interval.  
LOG [2023-05-05 14:35:40] avg rtt: 161.26 ms, hi: 179.00 ms, lo: 131.00, avg var: 12.70 ms. 1000 samples, 5 ms interval.  
LOG [2023-05-05 14:36:56] avg rtt: 138.00 ms, hi: 138.00 ms, lo: 138.00, avg var: 0.00 ms. 5000 samples, 5 ms interval. (MIXED) PEP
LOG [2023-05-05 14:38:04] avg rtt: 135.00 ms, hi: 135.00 ms, lo: 135.00, avg var: 0.00 ms. 5000 samples, 5 ms interval. (MIXED) PEP
LOG [2023-05-05 14:41:59] avg rtt: 141.00 ms, hi: 141.00 ms, lo: 141.00, avg var: 0.00 ms. 5000 samples, 5 ms interval. (MIXED) PEP
LOG [2023-05-05 14:43:22] avg rtt: 161.17 ms, hi: 223.00 ms, lo: 137.00, avg var: 11.40 ms. 1000 samples, 10 ms interval. (MIXED) PEP
LOG [2023-05-05 14:44:21] avg rtt: 205.00 ms, hi: 205.00 ms, lo: 205.00, avg var: 0.00 ms. 5000 samples, 5 ms interval. (MIXED) PEP
LOG [2023-05-05 14:46:22] avg rtt: 137.00 ms, hi: 137.00 ms, lo: 137.00, avg var: 0.00 ms. 5000 samples, 5 ms interval. (MIXED) PEP
LOG [2023-05-05 14:47:29] avg rtt: 127.00 ms, hi: 127.00 ms, lo: 127.00, avg var: 0.00 ms. 5000 samples, 10 ms interval. (MIXED) 
LOG [2023-05-05 14:49:33] avg rtt: 160.87 ms, hi: 183.00 ms, lo: 128.00, avg var: 10.02 ms. 5000 samples, 10 ms interval. (MIXED) 
LOG [2023-05-05 14:49:57] avg rtt: 132.00 ms, hi: 132.00 ms, lo: 132.00, avg var: 0.00 ms. 5000 samples, 10 ms interval. (MIXED) 
LOG [2023-05-05 14:52:43] avg rtt: 135.95 ms, hi: 142.00 ms, lo: 122.00, avg var: 4.77 ms. 2000 samples, 10 ms interval.  
LOG [2023-05-05 14:52:51] avg rtt: 135.00 ms, hi: 135.00 ms, lo: 135.00, avg var: 0.00 ms. 5000 samples, 10 ms interval.  
LOG [2023-05-05 14:56:09] avg rtt: 137.03 ms, hi: 141.00 ms, lo: 123.00, avg var: 2.37 ms. 5000 samples, 10 ms interval.  
LOG [2023-05-05 14:58:25] avg rtt: 69.37 ms, hi: 174.00 ms, lo: 0.00, avg var: 69.38 ms. 5000 samples, 10 ms interval. (MIXED) 
LOG [2023-05-05 14:59:22] avg rtt: 136.25 ms, hi: 141.00 ms, lo: 123.00, avg var: 2.20 ms. 5000 samples, 1 ms interval. (MIXED) 
LOG [2023-05-05 15:03:23] avg rtt: 139.67 ms, hi: 196.00 ms, lo: 132.00, avg var: 3.56 ms. 5000 samples, 1 ms interval. (MIXED) PEP
LOG [2023-05-05 15:04:46] avg rtt: 136.22 ms, hi: 140.00 ms, lo: 125.00, avg var: 1.98 ms. 5000 samples, 1 ms interval. (MIXED) 
LOG [2023-05-05 15:07:41] avg rtt: 136.91 ms, hi: 151.00 ms, lo: 125.00, avg var: 2.51 ms. 5000 samples, 1 ms interval. (MIXED) 
LOG [2023-05-05 15:09:26] avg rtt: 136.81 ms, hi: 153.00 ms, lo: 123.00, avg var: 5.85 ms. 5000 samples, 1 ms interval. (MIXED) 
LOG [2023-05-05 15:11:39] avg rtt: 140.20 ms, hi: 149.00 ms, lo: 122.00, avg var: 4.00 ms. 5000 samples, 1 ms interval. (MIXED) 
LOG [2023-05-05 15:57:13] avg rtt: 119.61 ms, hi: 145.00 ms, lo: 112.00, avg var: 9.56 ms. 2000 samples, 10 ms interval.  
